lat,lon,orbitYear,gasID,concentration,norm_concentration
45,-78,2004,CCl2F2,5.480e-10,2.1975328023535843
67,-74,2004,CCl2F2,5.480e-10,2.1975328023535843
61,-95,2004,CCl2F2,5.480e-10,2.1975328023535843
65,-89,2010,CO2,4.030e-04,2.196799030829957
68,-54,2010,CO2,4.030e-04,2.196799030829957
64,-101,2010,CO2,4.030e-04,2.196799030829957
60,-84,2010,CO2,4.030e-04,2.196799030829957
63,-76,2010,CO2,4.030e-04,2.196799030829957
59,-74,2010,CO2,4.030e-04,2.196799030829957
65,-87,2010,CO2,4.030e-04,2.196799030829957
62,-138,2010,CO2,4.030e-04,2.196799030829957
61,-63,2018,CO2,4.960e-04,2.194440189630605
62,-81,2013,N2O,9.080e-08,2.1908866151148154
61,-67,2013,N2O,9.080e-08,2.1908866151148154
82,-75,2012,CO2,4.170e-04,2.1896182813793614
82,-109,2012,CO2,4.170e-04,2.1896182813793614
66,-102,2012,CO2,4.170e-04,2.1896182813793614
82,-95,2012,CO2,4.170e-04,2.1896182813793614
60,-128,2009,CO2,4.070e-04,2.189216185490128
56,-78,2010,CO2,4.020e-04,2.188111877765061
75,-59,2010,CO2,4.020e-04,2.188111877765061
83,-55,2010,CO2,4.020e-04,2.188111877765061
74,-63,2010,CO2,4.020e-04,2.188111877765061
42,-98,2010,CO2,4.020e-04,2.188111877765061
78,-115,2010,CO2,4.020e-04,2.188111877765061
65,-109,2004,CCl2F2,5.460e-10,2.1860665316299785
53,-137,2004,CCl2F2,5.460e-10,2.1860665316299785
57,-101,2004,CCl2F2,5.460e-10,2.1860665316299785
55,-78,2011,CO2,4.810e-04,2.185865976765967
51,-89,2007,CO2,4.110e-04,2.183827542834988
83,-122,2012,CO2,4.160e-04,2.1813244980908584
60,-93,2012,CO2,4.160e-04,2.1813244980908584
61,-110,2009,CO2,4.060e-04,2.1806756950002577
62,-103,2009,CO2,4.060e-04,2.1806756950002577
81,-129,2009,CO2,4.060e-04,2.1806756950002577
64,-90,2009,CO2,4.060e-04,2.1806756950002577
60,-102,2013,CCl2F2,5.440e-10,2.1803673724903567
68,-91,2004,CCl2F2,5.450e-10,2.1803333962681757
69,-78,2004,CCl2F2,5.450e-10,2.1803333962681757
81,-131,2004,CCl2F2,5.450e-10,2.1803333962681757
58,-117,2010,CO2,4.010e-04,2.179424724700165
80,-133,2010,CO2,4.010e-04,2.179424724700165
82,-115,2013,N2O,9.040e-08,2.178908256944294
49,-82,2011,CCl2F2,5.530e-10,2.1788154510577904
49,-75,2004,CCl2F2,5.440e-10,2.174600260906373
82,-105,2012,CO2,4.150e-04,2.1730307148023558
62,-109,2012,CO2,4.150e-04,2.1730307148023558
63,-68,2013,N2O,9.020e-08,2.1729190778590337
63,-118,2009,CO2,4.050e-04,2.1721352045103877
66,-124,2009,CO2,4.050e-04,2.1721352045103877
79,-105,2013,CO2,4.410e-04,2.172023536943767
81,-94,2008,CO2,4.340e-04,2.1716181928517395
70,-102,2006,CO2,4.180e-04,2.1709580412122254
84,-102,2010,CO2,4.000e-04,2.170737571635269
58,-53,2010,CO2,4.000e-04,2.170737571635269
76,-78,2010,CO2,4.000e-04,2.170737571635269
46,-76,2010,CO2,4.000e-04,2.170737571635269
50,-71,2017,CO2,5.570e-04,2.1700234719504405
63,-99,2004,CCl2F2,5.430e-10,2.16886712554457
78,-70,2004,CCl2F2,5.430e-10,2.16886712554457
86,-89,2004,CCl2F2,5.430e-10,2.16886712554457
44,-127,2004,CCl2F2,5.430e-10,2.16886712554457
78,-123,2004,CCl2F2,5.430e-10,2.16886712554457
44,-51,2013,CCl2F2,5.420e-10,2.1688312754702497
82,-99,2012,CO2,4.140e-04,2.1647369315138527
64,-96,2012,CO2,4.140e-04,2.1647369315138527
60,-97,2012,CO2,4.140e-04,2.1647369315138527
60,-65,2008,CO2,4.330e-04,2.163635887321326
64,-139,2009,CO2,4.040e-04,2.1635947140205176
